# -- potential energy of the CH+ molecule's ground state as a function of the internuclear distance
#  R (bohr)           E( eV )
  0.100000000000E+01  0.182587639743E+02
  0.103235073312E+01  0.161168287928E+02
  0.106470146623E+01  0.140542541745E+02
  0.109705219935E+01  0.121504006828E+02
  0.112940293246E+01  0.104692636408E+02
  0.116175366558E+01  0.899394993388E+01
  0.119410439870E+01  0.768104333488E+01
  0.122645513181E+01  0.649071496566E+01
  0.125880586493E+01  0.540829554262E+01
  0.129115659804E+01  0.442984266862E+01
  0.132350733116E+01  0.355106253208E+01
  0.135585806428E+01  0.276397664374E+01
  0.138820879739E+01  0.205858415659E+01
  0.142055953051E+01  0.142506537765E+01
  0.145291026362E+01  0.856235397977E+00
  0.148526099674E+01  0.346756010618E+00
  0.151761172985E+01 -0.108648921334E+00
  0.154996246297E+01 -0.514804208457E+00
  0.158231319609E+01 -0.876132722707E+00
  0.161466392920E+01 -0.119702324261E+01
  0.164701466232E+01 -0.148128408955E+01
  0.167936539543E+01 -0.173206783998E+01
  0.171171612855E+01 -0.195248593022E+01
  0.174406686167E+01 -0.214535617172E+01
  0.177641759478E+01 -0.231307486151E+01
  0.180876832790E+01 -0.245800371636E+01
  0.184111906101E+01 -0.258230791732E+01
  0.187346979413E+01 -0.268779229245E+01
  0.190582052725E+01 -0.277622268412E+01
  0.193817126036E+01 -0.284924952187E+01
  0.197052199348E+01 -0.290825075655E+01
  0.200287272659E+01 -0.295456499436E+01
  0.203522345971E+01 -0.298946156244E+01
  0.206757419283E+01 -0.301399705980E+01
  0.209992492594E+01 -0.302918739018E+01
  0.213227565906E+01 -0.303600838925E+01
  0.216462639217E+01 -0.303527450058E+01
  0.219697712529E+01 -0.302775953786E+01
  0.222932785841E+01 -0.301421441155E+01
  0.226167859152E+01 -0.299526860602E+01
  0.229402932464E+01 -0.297151151821E+01
  0.232638005775E+01 -0.294351974609E+01
  0.235873079087E+01 -0.291178002392E+01
  0.239108152399E+01 -0.287674052038E+01
  0.242343225710E+01 -0.283884236941E+01
  0.245578299022E+01 -0.279846133985E+01
  0.248813372333E+01 -0.275593709722E+01
  0.252048445645E+01 -0.271160521600E+01
  0.255283518956E+01 -0.266575243277E+01
  0.258518592268E+01 -0.261863104280E+01
  0.261753665580E+01 -0.257049092784E+01
  0.264988738891E+01 -0.252154978358E+01
  0.268223812203E+01 -0.247199646739E+01
  0.271458885514E+01 -0.242201801880E+01
  0.274693958826E+01 -0.237177809561E+01
  0.277929032138E+01 -0.232141378042E+01
  0.281164105449E+01 -0.227106040265E+01
  0.284399178761E+01 -0.222083763062E+01
  0.287634252072E+01 -0.217084251147E+01
  0.290869325384E+01 -0.212117022731E+01
  0.294104398696E+01 -0.207190580162E+01
  0.297339472007E+01 -0.202311551361E+01
  0.300574545319E+01 -0.197486359811E+01
  0.303809618630E+01 -0.192720791183E+01
  0.307044691942E+01 -0.188019115415E+01
  0.310279765254E+01 -0.183385381987E+01
  0.313514838565E+01 -0.178823263720E+01
  0.316749911877E+01 -0.174335268957E+01
  0.319984985188E+01 -0.169923681694E+01
  0.323220058500E+01 -0.165590571962E+01
  0.326455131812E+01 -0.161337141925E+01
  0.329690205123E+01 -0.157164373742E+01
  0.332925278435E+01 -0.153073137477E+01
  0.336160351746E+01 -0.149063704709E+01
  0.339395425058E+01 -0.145136148087E+01
  0.342630498370E+01 -0.141290484023E+01
  0.345865571681E+01 -0.137526331350E+01
  0.349100644993E+01 -0.133843137157E+01
  0.352335718304E+01 -0.130240323790E+01
  0.355570791616E+01 -0.126717083423E+01
  0.358805864927E+01 -0.123272480292E+01
  0.362040938239E+01 -0.119905567497E+01
  0.365276011551E+01 -0.116615268546E+01
  0.368511084862E+01 -0.113400414992E+01
  0.371746158174E+01 -0.110259833851E+01
  0.374981231485E+01 -0.107192302524E+01
  0.378216304797E+01 -0.104196553689E+01
  0.381451378109E+01 -0.101271318044E+01
  0.384686451420E+01 -0.984153151608E+00
  0.387921524732E+01 -0.956272518821E+00
  0.391156598043E+01 -0.929058346014E+00
  0.394391671355E+01 -0.902497822357E+00
  0.397626744667E+01 -0.876578319030E+00
  0.400861817978E+01 -0.851287223289E+00
  0.404096891290E+01 -0.826612103658E+00
  0.407331964601E+01 -0.802540865253E+00
  0.410567037913E+01 -0.779061450481E+00
  0.413802111225E+01 -0.756162006731E+00
  0.417037184536E+01 -0.733831171741E+00
  0.420272257848E+01 -0.712057655098E+00
  0.423507331159E+01 -0.690830311449E+00
  0.426742404471E+01 -0.670138446983E+00
  0.429977477783E+01 -0.649971455494E+00
  0.433212551094E+01 -0.630318862457E+00
  0.436447624406E+01 -0.611170731170E+00
  0.439682697717E+01 -0.592517262226E+00
  0.442917771029E+01 -0.574348705160E+00
  0.446152844341E+01 -0.556655572667E+00
  0.449387917652E+01 -0.539428465513E+00
  0.452622990964E+01 -0.522658075097E+00
  0.455858064275E+01 -0.506335739447E+00
  0.459093137587E+01 -0.490453077752E+00
  0.462328210898E+01 -0.475001638190E+00
  0.465563284210E+01 -0.459972273031E+00
  0.468798357522E+01 -0.445355445297E+00
  0.472033430833E+01 -0.431141859945E+00
  0.475268504145E+01 -0.417325519321E+00
  0.478503577456E+01 -0.403902779885E+00
  0.481738650768E+01 -0.390869517703E+00
  0.484973724080E+01 -0.378211297951E+00
  0.488208797391E+01 -0.365904334682E+00
  0.491443870703E+01 -0.353925134057E+00
  0.494678944014E+01 -0.342269144659E+00
  0.497914017326E+01 -0.330953607459E+00
  0.501149090638E+01 -0.319996651889E+00
